release_date,channel,version,dart_sdk_version,engine_commit,snapshot_hash
2023-06-02T17:05:14.887909Z,stable,3.10.3,3.0.3,2a3401c9bbb5a9a9aec74d4f735d18a9dd3ebf2d,90b56a561f70cd55e972cb49b79b3d8b
2023-05-24T20:08:04.268337Z,beta,3.11.0-0.1.pre,3.1.0 (build 3.1.0-63.1.beta),7eca5cd1c5cca97929a7c8ea4381441447a36f26,36b0375d284ee2af0d0fffc6e6e48fde
2023-05-24T18:49:57.763032Z,stable,3.10.2,3.0.2,90fa3ae28fe6ddaee1af2c120f01e50201c1401b,aa64af18e7d086041ac127cc4bc50c5e
2023-05-17T18:48:27.668845Z,stable,3.10.1,3.0.1,b4fb11214dd2dda6ce012dd98ea498e9e8b91262,aa64af18e7d086041ac127cc4bc50c5e
2023-05-10T16:57:18.258781Z,beta,3.11.0-0.0.pre,3.1.0 (build 3.1.0-63.1.beta),992cdb6cd409a30ebf91a33841575a1c7fd1bb1d,36b0375d284ee2af0d0fffc6e6e48fde
2023-05-10T16:27:18.662225Z,stable,3.10.0,3.0.0,d44b5a94c976fbb65815374f61ab5392a220b084,aa64af18e7d086041ac127cc4bc50c5e
2023-05-03T18:30:39.812428Z,beta,3.10.0-1.5.pre,3.0.0 (build 3.0.0-417.4.beta),50e509c2bd0d7788feb675e38321cc5711c8d2d6,aa64af18e7d086041ac127cc4bc50c5e
2023-04-26T18:25:45.448801Z,beta,3.10.0-1.4.pre,3.0.0 (build 3.0.0-417.3.beta),f7ac42e8a273548af89f8b005179bf2b4b1bb2f1,aa64af18e7d086041ac127cc4bc50c5e
2023-04-20T00:21:45.294845Z,stable,3.7.12,2.19.6,1a65d409c7a1438a34d21b60bf30a6fd5db59314,adb4292f3ec25074ca70abcd2d5c7251
2023-04-19T22:21:01.230158Z,beta,3.10.0-1.3.pre,3.0.0 (build 3.0.0-417.2.beta),a645b36a9b8133090a73112cb03b09fb58a5c506,aa64af18e7d086041ac127cc4bc50c5e
2023-04-12T22:58:36.828859Z,beta,3.10.0-1.1.pre,3.0.0 (build 3.0.0-417.1.beta),870e640e7edb592a4022fa41e794a10e292955d4,aa64af18e7d086041ac127cc4bc50c5e
2023-04-12T17:07:01.301355Z,stable,3.7.11,2.19.6,1a65d409c7a1438a34d21b60bf30a6fd5db59314,adb4292f3ec25074ca70abcd2d5c7251
2023-04-05T17:17:16.845293Z,stable,3.7.10,2.19.6,ec975089acb540fc60752606a3d3ba809dd1528b,adb4292f3ec25074ca70abcd2d5c7251
2023-03-30T19:49:58.794240Z,stable,3.7.9,2.19.6,ec975089acb540fc60752606a3d3ba809dd1528b,adb4292f3ec25074ca70abcd2d5c7251
2023-03-24T18:27:52.644985Z,beta,3.9.0-0.2.pre,3.0.0 (build 3.0.0-290.3.beta),1cc4b2d280f5705c7901c10676eae8bdb3142631,618084be871d017013dc342a8ecadba6
